domainId,instanceId,feature0,feature1,feature2,feature3,feature4,feature5,pred,actual,intercept,coef_0,coef_1,coef_2,coef_3,coef_4,coef_5,linear_pred,subject_actual
0.0,0.0,2.5,3.77,3.0,11.0,9.92551,18.0,1015.3,1038.0,683.8235780439682,0.0,0.6454751537578403,0.0,0.0,-10.349171012388277,16.13687884394603,874.0000381894938,1038.0
0.0,1.0,2.5,3.2,3.0,7.0,21.716604,13.0,474.6,422.0,391.50933904977325,-0.21895112101763559,-0.1401287174512869,0.0,0.0,-0.1885703392697124,2.6274134522116275,420.57481684607023,422.0
0.0,2.0,1.0,0.96,3.0,5.0,20.229242,69.0,227.6,180.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,180.0
0.0,3.0,2.5,2.07,3.0,8.0,18.147491,18.0,368.9,325.0,191.7146781447156,0.0,0.5729877241503049,0.0,0.0,4.553497255124103,3.0157248639489738,329.81836074067763,325.0
0.0,4.0,1.0,0.96,5.0,6.0,10.317986,65.0,288.1,244.0,1203.3609468105549,0.0,1.14285800762147,0.0,0.0,-15.128354356823463,-11.93622895554158,272.50905993092533,244.0
0.0,5.0,1.5,1.09,3.0,7.0,6.1299644,73.0,435.1,455.0,-566.5010894001207,0.0,0.5198809383411278,0.0,0.0,-10.290783233993444,14.17857104566711,406.01913228387343,455.0
0.0,6.0,1.0,0.85,3.0,7.0,8.438449,67.0,268.6,290.0,260.12917724742624,2.1316282072803006e-14,6.420076645509503,0.0,0.0,-73.65184777088972,10.07000400239626,318.76914938624213,290.0
0.0,7.0,1.75,1.96,5.0,8.0,5.698713,103.0,722.3,725.0,17.465153470933274,192.8150933145135,186.4258814019064,-5.684341886080802e-14,0.0,-2.990453027972954,-0.03452272948499058,699.6887196357152,725.0
0.0,8.0,1.0,0.87,5.0,6.0,20.18158,46.0,184.6,183.0,161.12149771944172,28.26979047385691,7.735063866016567,0.0,0.0,-0.8090595072067899,0.0,179.79269458727865,183.0
0.0,9.0,2.75,3.488,3.0,10.0,14.902465,17.0,830.6,815.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,815.0
0.0,10.0,2.5,2.55,3.0,9.0,13.969739,23.0,587.3,587.0,-278.5109076035841,-2.6290081223123707e-13,27.968909784683387,0.0,0.0,101.68969297860107,-25.9711176280556,616.0525768032687,587.0
0.0,11.0,3.5,2.49,3.0,8.0,13.3640785,10.0,550.9,550.0,519.4422269583397,0.057342367292592566,-0.0011468473458518208,0.0,0.0,-0.20491788096366553,3.0964878337999817,547.8664092847204,550.0
0.0,12.0,2.5,1.09,4.0,7.0,9.917913,58.0,378.6,395.0,57.26409353883514,30.092096905610976,8.878127864315262,0.0,0.0,15.134110628986278,2.5455036634919743,439.9095002081619,395.0
0.0,13.0,2.0,1.31,3.0,7.0,20.292324,21.0,250.2,255.0,574.5893182749181,144.10522828356972,63.4995214780899,-2.842170943040401e-14,0.0,-31.294089477125738,-3.17464377598057,244.28682572793718,255.0
0.0,14.0,1.5,1.41,4.0,7.0,21.805424,33.0,246.8,215.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,215.0
0.0,15.0,1.75,1.3,3.0,8.0,13.695743,34.0,371.0,430.0,494.3527898015137,0.0,0.02533610347305955,0.0,0.0,1.1797464764955836,-1.0407200042722349,475.1587511380118,430.0
0.0,16.0,1.75,1.06,3.0,7.0,1.591454,7.0,319.0,352.8,156.39022390633042,3.552713678800501e-15,9.917116973195764,0.0,0.0,30.860518576310707,18.376155414974875,344.64855153308605,352.8
0.0,17.0,2.5,2.74,3.0,9.0,15.229729,18.0,646.2,672.8,711.4168658357595,0.0,0.03040177192706017,0.0,0.0,-0.5962894968016672,-3.908799247764863,632.0604527892364,672.8
0.0,18.0,3.0,2.83,4.0,8.0,6.177497,36.0,808.3,865.0,737.0627097454447,-0.06979382284895053,-0.055835058279160105,0.0,0.0,-0.03575732967255694,1.1167011655832022,776.6756662261829,865.0
0.0,19.0,2.5,1.98,4.0,9.0,8.266488,26.0,711.6,775.0,2394.967973511525,-4.855507920702912,11.84743932651511,0.0,0.0,-18.101663702919037,-38.8440633656233,1246.7043002898463,775.0
